"variety_a","variety_b","variety_c","best","worst","var_a","var_b","var_c","lon","lat","season","year","planting_date"
"INTA Matagalpa","SJC 730-79","INTA Precoz","A","C","Better","Worse","Better",-85.814,12.887,"Po15",2015,2015-10-15
"INTA Matagalpa","PM2 Don Rey","INTA Precoz","A","C","Better","Worse","Worse",-85.59,12.733,"Po15",2015,2015-09-21
"INTA Centro Sur","SJC 730-79","INTA Sequia","A","B","Better","Worse","Worse",-85.742,12.893,"Po15",2015,2015-09-30
"PM2 Don Rey","SJC 730-79","INTA Ferroso","B","C","Worse","Better","Worse",-85.758,12.825,"Po15",2015,2015-09-30
"INTA Matagalpa","INTA Precoz","INTA Ferroso","C","B","Worse","Worse","Better",-85.711,12.934,"Po15",2015,2015-09-12
"PM2 Don Rey","INTA Precoz","INTA Centro Sur","A","B","Better","Worse","Better",-85.713,12.856,"Po15",2015,2015-10-01
"INTA Ferroso","ALS 0532-6","INTA Rojo","B","A","Worse","Better","Worse",-85.81,12.895,"Po15",2015,2015-10-03
"ALS 0532-6","BRT 103-182","PM2 Don Rey","B","A","Worse","Better","Worse",-85.813,12.899,"Po15",2015,2015-09-28
"INTA Centro Sur","SJC 730-79","INTA Sequia","B","A","Worse","Better","Worse",-85.605,12.741,"Po15",2015,2015-09-20
"SJC 730-79","INTA Sequia","BRT 103-182","C","A","Worse","Worse","Better",-85.747,12.939,"Po15",2015,2015-09-22
"INTA Centro Sur","PM2 Don Rey","INTA Sequia","A","C","Better","Worse","Better",-85.777,12.802,"Po15",2015,2015-10-05
"INTA Matagalpa","INTA Precoz","INTA Centro Sur","B","C","Worse","Better","Worse",-85.803,12.884,"Po15",2015,2015-09-24
"INTA Sequia","BRT 103-182","INTA Centro Sur","C","B","Better","Worse","Better",-85.669,13.019,"Po15",2015,2015-09-18
"BRT 103-182","INTA Rojo","INTA Sequia","B","C","Worse","Better","Worse",-85.692,12.816,"Po15",2015,2015-09-27
"SJC 730-79","INTA Sequia","INTA Centro Sur","C","B","Worse","Better","Better",-85.574,12.721,"Po15",2015,2015-09-20
"INTA Matagalpa","INTA Ferroso","INTA Precoz","C","A","Worse","Worse","Better",-85.688,12.823,"Po15",2015,2015-09-26
"INTA Centro Sur","SJC 730-79","INTA Sequia","B","A","Worse","Better","Better",-85.773,12.84,"Po15",2015,2015-09-22
"BRT 103-182","ALS 0532-6","PM2 Don Rey","A","B","Better","Worse","Worse",-85.574,12.718,"Po15",2015,2015-09-21
"INTA Centro Sur","SJC 730-79","INTA Sequia","B","A","Better","Better","Worse",-85.811,12.875,"Po15",2015,2015-10-01
"INTA Precoz","INTA Ferroso","INTA Matagalpa","A","B","Better","Worse","Worse",-85.721,13.043,"Po15",2015,2015-09-18
"INTA Centro Sur","INTA Rojo","INTA Sequia","C","B","Worse","Worse","Better",-85.574,12.723,"Po15",2015,2015-09-21
"INTA Rojo","SJC 730-79","ALS 0532-6","C","A","Worse","Worse","Better",-85.794,12.872,"Po15",2015,2015-09-17
"SJC 730-79","INTA Sequia","INTA Centro Sur","A","C","Better","Better","Worse",-85.732,12.806,"Po15",2015,2015-09-26
"INTA Ferroso","INTA Precoz","INTA Matagalpa","C","B","Worse","Worse","Better",-85.781,12.841,"Po15",2015,2015-09-21
"PM2 Don Rey","BRT 103-182","ALS 0532-6","A","C","Better","Worse","Worse",-85.784,12.836,"Po15",2015,2015-09-25
"PM2 Don Rey","INTA Ferroso","INTA Matagalpa","B","A","Worse","Better","Better",-85.586,12.73,"Po15",2015,2015-09-20
"SJC 730-79","BRT 103-182","INTA Rojo","A","B","Better","Worse","Worse",-85.813,12.915,"Po15",2015,2015-09-22
"INTA Precoz","INTA Matagalpa","INTA Ferroso","B","C","Worse","Better","Worse",-85.796,13.085,"Po15",2015,2015-09-20
"INTA Sequia","INTA Centro Sur","INTA Precoz","C","A","Better","Better","Better",-85.735,12.808,"Po15",2015,2015-09-10
"PM2 Don Rey","ALS 0532-6","BRT 103-182","A","B","Better","Worse","Worse",-85.578,13.181,"Po15",2015,2015-09-18
"ALS 0532-6","BRT 103-182","PM2 Don Rey","A","C","Better","Worse","Worse",-85.77,12.832,"Po15",2015,2015-09-27
"INTA Sequia","INTA Precoz","INTA Centro Sur","B","C","Worse","Better","Worse",-85.596,12.802,"Po15",2015,2015-09-27
"INTA Ferroso","INTA Rojo","INTA Matagalpa","C","B","Worse","Worse","Better",-85.697,12.952,"Po15",2015,2015-09-24
"INTA Rojo","INTA Centro Sur","INTA Precoz","A","C","Better","Better","Worse",-85.68,12.794,"Po15",2015,2015-09-25
"SJC 730-79","INTA Ferroso","INTA Sequia","C","A","Worse","Worse","Better",-85.777,12.84,"Po15",2015,2015-10-16
"ALS 0532-6","BRT 103-182","SJC 730-79","B","C","Worse","Worse","Better",-85.699,12.94,"Po15",2015,2015-09-26
"INTA Centro Sur","PM2 Don Rey","INTA Ferroso","B","C","Worse","Worse","Better",-85.81,12.88,"Po15",2015,2015-09-25
"INTA Ferroso","ALS 0532-6","SJC 730-79","A","C","Better","Better","Worse",-85.781,12.833,"Po15",2015,2015-10-13
"INTA Matagalpa","PM2 Don Rey","ALS 0532-6","B","A","Better","Better","Better",-85.8,12.892,"Po15",2015,2015-10-01
"INTA Rojo","INTA Precoz","INTA Matagalpa","B","C","Worse","Better","Worse",-85.491,13.085,"Po15",2015,2015-09-11
"INTA Matagalpa","SJC 730-79","ALS 0532-6","B","A","Worse","Better","Worse",-85.809,12.888,"Po15",2015,2015-10-07
"INTA Sequia","BRT 103-182","INTA Ferroso","B","A","Worse","Better","Worse",-85.802,12.873,"Po15",2015,2015-10-15
"PM2 Don Rey","BRT 103-182","INTA Rojo","B","C","Worse","Better","Worse",-85.774,12.836,"Po15",2015,2015-09-11
"INTA Sequia","INTA Rojo","PM2 Don Rey","A","C","Worse","Worse","Worse",-85.809,12.887,"Po15",2015,2015-10-10
"INTA Centro Sur","ALS 0532-6","INTA Precoz","C","A","Worse","Worse","Better",-85.711,12.797,"Po15",2015,2015-09-12
"ALS 0532-6","PM2 Don Rey","INTA Centro Sur","A","C","Better","Worse","Worse",-85.811,12.855,"Po15",2015,2015-09-30
"INTA Matagalpa","ALS 0532-6","BRT 103-182","A","C","Better","Worse","Worse",-85.733,12.809,"Po15",2015,2015-09-28
"INTA Sequia","INTA Ferroso","INTA Centro Sur","A","C","Better","Worse","Worse",-85.807,12.869,"Po15",2015,2015-09-28
"INTA Rojo","INTA Precoz","SJC 730-79","A","B","Better","Worse","Worse",-85.811,12.875,"Po15",2015,2015-10-11
"INTA Matagalpa","INTA Ferroso","SJC 730-79","C","A","Worse","Worse","Better",-85.816,12.885,"Po15",2015,2015-10-07
"BRT 103-182","INTA Centro Sur","ALS 0532-6","A","C","Better","Worse","Worse",-85.737,12.868,"Po15",2015,2015-09-21
"INTA Matagalpa","INTA Rojo","ALS 0532-6","A","B","Better","Better","Better",-85.817,12.879,"Po15",2015,2015-09-25
"BRT 103-182","INTA Centro Sur","INTA Sequia","C","A","Worse","Better","Better",-85.761,12.924,"Po15",2015,2015-09-17
"INTA Precoz","SJC 730-79","PM2 Don Rey","C","B","Worse","Worse","Better",-85.702,12.95,"Po15",2015,2015-09-16
"INTA Sequia","ALS 0532-6","INTA Centro Sur","C","B","Better","Worse","Better",-85.762,12.927,"Po15",2015,2015-10-22
"INTA Centro Sur","INTA Ferroso","INTA Rojo","C","B","Better","Worse","Better",-85.817,12.88,"Po15",2015,2015-10-06
"INTA Sequia","PM2 Don Rey","INTA Matagalpa","C","A","Better","Worse","Worse",-85.818,12.873,"Po15",2015,2015-10-02
"SJC 730-79","INTA Precoz","INTA Centro Sur","C","A","Worse","Better","Better",-85.803,12.888,"Po15",2015,2015-09-27
"SJC 730-79","INTA Precoz","BRT 103-182","A","B","Better","Worse","Worse",-85.544,12.823,"Po15",2015,2015-09-24
"INTA Matagalpa","SJC 730-79","BRT 103-182","A","C","Better","Better","Worse",-85.816,12.879,"Po15",2015,2015-10-13
"INTA Precoz","SJC 730-79","INTA Sequia","C","B","Better","Worse","Worse",-85.71,12.944,"Po15",2015,2015-09-23
"INTA Centro Sur","ALS 0532-6","INTA Ferroso","A","C","Better","Better","Worse",-85.692,13.045,"Po15",2015,2015-09-22
"PM2 Don Rey","ALS 0532-6","INTA Rojo","A","C","Better","Worse","Worse",-85.597,12.713,"Po15",2015,2015-09-20
"BRT 103-182","SJC 730-79","INTA Centro Sur","A","B","Better","Better","Worse",-85.713,12.943,"Po15",2015,2015-09-30
"INTA Precoz","ALS 0532-6","INTA Sequia","C","A","Worse","Worse","Better",-85.732,12.808,"Po15",2015,2015-09-28
"SJC 730-79","INTA Rojo","INTA Matagalpa","A","C","Better","Worse","Worse",-85.81,12.877,"Po15",2015,2015-09-17
"INTA Precoz","INTA Sequia","INTA Matagalpa","A","C","Worse","Worse","Worse",-85.761,12.828,"Po15",2015,2015-09-22
"BRT 103-182","PM2 Don Rey","INTA Rojo","C","B","Worse","Better","Better",-85.807,12.897,"Po15",2015,2015-10-25
"BRT 103-182","INTA Matagalpa","INTA Sequia","A","C","Better","Worse","Worse",-85.739,12.813,"Po15",2015,2015-10-05
"INTA Precoz","INTA Rojo","BRT 103-182","C","A","Worse","Worse","Better",-85.59,12.725,"Po15",2015,2015-09-20
"INTA Matagalpa","ALS 0532-6","INTA Centro Sur","B","A","Worse","Better","Worse",-85.583,12.733,"Po15",2015,2015-09-20
"SJC 730-79","INTA Rojo","INTA Ferroso","B","A","Better","Better","Better",-85.578,12.718,"Po15",2015,2015-09-20
"ALS 0532-6","INTA Matagalpa","INTA Ferroso","A","C","Better","Worse","Worse",-85.813,12.881,"Po15",2015,2015-09-18
"BRT 103-182","SJC 730-79","PM2 Don Rey","A","C","Better","Worse","Worse",-85.692,12.831,"Po15",2015,2015-09-23
"INTA Matagalpa","ALS 0532-6","INTA Precoz","A","C","Better","Worse","Worse",-85.762,12.916,"Po15",2015,2015-10-12
"INTA Precoz","INTA Centro Sur","ALS 0532-6","A","C","Better","Worse","Worse",-85.691,12.84,"Po15",2015,2015-09-19
"INTA Precoz","PM2 Don Rey","ALS 0532-6","B","A","Worse","Better","Better",-85.838,12.865,"Po15",2015,2015-09-30
"INTA Centro Sur","PM2 Don Rey","INTA Precoz","A","C","Worse","Worse","Worse",-85.813,12.893,"Po15",2015,2015-09-26
"ALS 0532-6","INTA Rojo","INTA Ferroso","A","C","Better","Worse","Worse",-85.779,12.856,"Po15",2015,2015-09-30
"INTA Matagalpa","INTA Sequia","ALS 0532-6","A","C","Better","Worse","Worse",-85.713,12.833,"Po15",2015,2015-10-08
"INTA Matagalpa","INTA Rojo","INTA Sequia","C","A","Worse","Worse","Better",-85.814,12.907,"Po15",2015,2015-09-26
"ALS 0532-6","INTA Matagalpa","SJC 730-79","A","C","Better","Worse","Better",-85.807,12.892,"Po15",2015,2015-10-01
"ALS 0532-6","INTA Ferroso","INTA Precoz","A","C","Better","Better","Worse",-85.735,12.81,"Po15",2015,2015-09-28
"INTA Rojo","INTA Sequia","INTA Centro Sur","C","A","Better","Better","Worse",-85.784,13.074,"Po15",2015,2015-09-16
"PM2 Don Rey","INTA Matagalpa","ALS 0532-6","C","A","Worse","Better","Better",-85.678,12.813,"Po15",2015,2015-09-27
"INTA Precoz","BRT 103-182","INTA Sequia","A","C","Better","Worse","Better",-85.738,12.812,"Po15",2015,2015-09-29
"INTA Precoz","INTA Sequia","ALS 0532-6","B","C","Worse","Better","Worse",-85.696,12.96,"Po15",2015,2015-10-14
"INTA Precoz","BRT 103-182","SJC 730-79","A","C","Better","Worse","Better",-85.556,12.717,"Po15",2015,2015-09-21
"SJC 730-79","INTA Rojo","INTA Precoz","B","A","Worse","Better","Worse",-85.761,12.947,"Po15",2015,2015-10-20
"PM2 Don Rey","ALS 0532-6","SJC 730-79","B","A","Worse","Better","Better",-85.752,12.82,"Po15",2015,2015-09-29
"INTA Sequia","INTA Centro Sur","PM2 Don Rey","C","B","Better","Better","Worse",-85.803,12.88,"Po15",2015,2015-09-23
"INTA Centro Sur","PM2 Don Rey","BRT 103-182","C","B","Worse","Worse","Worse",-85.779,12.837,"Po15",2015,2015-09-29
"ALS 0532-6","PM2 Don Rey","INTA Rojo","B","C","Worse","Better","Worse",-85.56,12.828,"Po15",2015,2015-09-16
"BRT 103-182","ALS 0532-6","SJC 730-79","C","A","Worse","Worse","Worse",-85.597,12.734,"Po15",2015,2015-09-20
"INTA Sequia","BRT 103-182","SJC 730-79","C","B","Worse","Worse","Better",-85.801,12.895,"Po15",2015,2015-10-26
"INTA Ferroso","SJC 730-79","INTA Matagalpa","B","C","Better","Worse","Worse",-85.686,12.823,"Po15",2015,2015-09-23
"INTA Precoz","BRT 103-182","INTA Rojo","C","A","Worse","Better","Better",-85.669,12.805,"Po15",2015,2015-09-22
"INTA Matagalpa","INTA Precoz","INTA Rojo","C","B","Better","Worse","Better",-85.817,12.884,"Po15",2015,2015-10-02
"ALS 0532-6","INTA Sequia","PM2 Don Rey","B","C","Worse","Better","Better",-85.769,12.931,"Po15",2015,2015-10-05
"SJC 730-79","PM2 Don Rey","INTA Matagalpa","A","C","Better","Better","Worse",-85.807,12.893,"Po15",2015,2015-09-26
"PM2 Don Rey","ALS 0532-6","INTA Ferroso","B","C","Worse","Better","Better",-85.711,12.954,"Po15",2015,2015-09-29
"INTA Ferroso","ALS 0532-6","INTA Matagalpa","B","A","Worse","Better","Worse",-85.724,12.948,"Po15",2015,2015-09-22
"BRT 103-182","INTA Rojo","INTA Centro Sur","A","B","Better","Worse","Better",-85.577,12.725,"Po15",2015,2015-09-21
"INTA Matagalpa","PM2 Don Rey","INTA Centro Sur","A","C","Better","Better","Better",-85.557,12.817,"Po15",2015,2015-09-14
"SJC 730-79","INTA Centro Sur","PM2 Don Rey","B","C","Worse","Better","Worse",-85.751,12.942,"Po15",2015,2015-09-22
"INTA Ferroso","INTA Centro Sur","INTA Rojo","B","A","Worse","Better","Worse",-85.807,12.896,"Po15",2015,2015-09-23
"INTA Sequia","SJC 730-79","BRT 103-182","A","C","Better","Worse","Worse",-85.577,12.706,"Po15",2015,2015-09-20
"PM2 Don Rey","BRT 103-182","SJC 730-79","A","B","Better","Worse","Worse",-85.735,12.81,"Po15",2015,2015-10-02
"INTA Matagalpa","INTA Precoz","INTA Sequia","A","B","Better","Worse","Worse",-85.781,12.839,"Po15",2015,2015-10-13
"SJC 730-79","INTA Centro Sur","INTA Precoz","C","B","Better","Better","Better",-85.674,12.809,"Po15",2015,2015-09-23
"INTA Ferroso","ALS 0532-6","INTA Precoz","B","A","Worse","Better","Worse",-85.684,13.035,"Po15",2015,2015-09-23
"INTA Precoz","INTA Ferroso","INTA Rojo","B","A","Worse","Better","Worse",-85.792,12.924,"Po15",2015,2015-10-01
"INTA Centro Sur","INTA Matagalpa","INTA Precoz","B","A","Worse","Better","Worse",-85.805,12.897,"Po15",2015,2015-10-15
"SJC 730-79","INTA Precoz","INTA Ferroso","B","A","Worse","Better","Worse",-85.557,12.824,"Po15",2015,2015-09-12
"INTA Precoz","INTA Rojo","ALS 0532-6","A","B","Better","Worse","Worse",-85.769,12.832,"Po15",2015,2015-10-05
"INTA Centro Sur","INTA Matagalpa","BRT 103-182","B","A","Worse","Worse","Better",-85.737,12.88,"Po15",2015,2015-09-20
"INTA Rojo","SJC 730-79","INTA Sequia","A","C","Worse","Better","Better",-85.54,12.828,"Po15",2015,2015-09-13
"INTA Matagalpa","INTA Sequia","INTA Centro Sur","C","A","Worse","Better","Better",-85.777,12.84,"Po15",2015,2015-09-27
"INTA Ferroso","PM2 Don Rey","BRT 103-182","C","B","Worse","Better","Better",-85.555,12.829,"Po15",2015,2015-09-23
"INTA Rojo","SJC 730-79","INTA Ferroso","C","A","Worse","Worse","Better",-85.759,12.955,"Po15",2015,2015-09-30
"INTA Matagalpa","PM2 Don Rey","INTA Ferroso","B","A","Worse","Better","Worse",-85.655,12.777,"Po15",2015,2015-09-24
"INTA Matagalpa","INTA Centro Sur","ALS 0532-6","C","A","Worse","Worse","Better",-85.688,12.825,"Po15",2015,2015-09-22
"INTA Sequia","ALS 0532-6","INTA Centro Sur","A","B","Better","Worse","Worse",-85.761,12.943,"Po15",2015,2015-09-19
"PM2 Don Rey","ALS 0532-6","INTA Precoz","A","C","Better","Worse","Worse",-85.594,12.735,"Po16",2016,2016-09-20
"SJC 730-79","ALS 0532-6","INTA Sequia","B","A","Worse","Better","Worse",-85.639,12.75,"Po16",2016,2016-09-15
"SJC 730-79","BRT 103-182","INTA Centro Sur","B","A","Better","Worse","Worse",-85.578,12.725,"Po16",2016,2016-09-20
"INTA Ferroso","ALS 0532-6","INTA Centro Sur","B","C","Worse","Better","Worse",-85.69,12.795,"Po16",2016,2016-09-13
"INTA Ferroso","INTA Centro Sur","INTA Rojo","B","A","Worse","Better","Worse",-85.639,12.75,"Po16",2016,2016-09-15
"INTA Sequia","INTA Centro Sur","INTA Ferroso","B","C","Worse","Better","Worse",-85.639,12.75,"Po16",2016,2016-09-10
"INTA Centro Sur","PM2 Don Rey","INTA Rojo","A","C","Better","Worse","Worse",-85.639,12.75,"Po16",2016,2016-09-12
"SJC 730-79","INTA Rojo","BRT 103-182","A","C","Worse","Worse","Worse",-85.583,12.739,"Po16",2016,2016-09-20
"INTA Precoz","INTA Ferroso","BRT 103-182","C","A","Better","Worse","Worse",-85.577,12.717,"Po16",2016,2016-09-20
"INTA Centro Sur","INTA Matagalpa","INTA Rojo","C","A","Better","Worse","Better",-85.639,12.75,"Po16",2016,2016-09-09
"ALS 0532-6","INTA Precoz","INTA Centro Sur","B","A","Better","Better","Better",-85.69,12.795,"Po16",2016,2016-09-17
"INTA Sequia","INTA Matagalpa","INTA Rojo","B","A","Worse","Better","Better",-85.596,12.733,"Po16",2016,2016-09-20
"INTA Precoz","INTA Ferroso","INTA Rojo","A","C","Better","Better","Better",-85.616,12.738,"Po16",2016,2016-09-20
"SJC 730-79","INTA Ferroso","INTA Centro Sur","A","C","Better","Better","Worse",-85.59,12.723,"Po16",2016,2016-09-20
"PM2 Don Rey","INTA Matagalpa","INTA Centro Sur","B","A","Worse","Better","Better",-85.69,12.795,"Po16",2016,2016-09-15
"INTA Sequia","PM2 Don Rey","SJC 730-79","C","A","Better","Better","Better",-85.69,12.795,"Po16",2016,2016-09-12
"ALS 0532-6","INTA Precoz","INTA Rojo","C","A","Worse","Better","Better",-85.573,12.745,"Po16",2016,2016-09-20
"BRT 103-182","INTA Rojo","INTA Matagalpa","A","C","Better","Better","Better",-85.69,12.795,"Po16",2016,2016-09-14
"INTA Matagalpa","INTA Sequia","ALS 0532-6","A","C","Better","Better","Worse",-85.639,12.75,"Po16",2016,2016-09-12
"INTA Centro Sur","INTA Rojo","BRT 103-182","A","B","Better","Worse","Better",-85.59,12.735,"Po16",2016,2016-09-20
"ALS 0532-6","BRT 103-182","PM2 Don Rey","B","C","Better","Better","Worse",-85.593,12.733,"Po16",2016,2016-09-20
"BRT 103-182","INTA Precoz","INTA Sequia","C","A","Worse","Better","Better",-85.573,12.792,"Po16",2016,2016-09-15
"ALS 0532-6","INTA Precoz","INTA Sequia","C","B","Worse","Better","Better",-85.69,12.795,"Po16",2016,2016-09-16
"SJC 730-79","INTA Precoz","PM2 Don Rey","A","C","Better","Better","Worse",-85.639,12.75,"Po16",2016,2016-09-12
"INTA Rojo","ALS 0532-6","SJC 730-79","B","A","Worse","Better","Better",-85.557,12.722,"Po16",2016,2016-09-20
"ALS 0532-6","INTA Ferroso","INTA Rojo","C","A","Worse","Better","Better",-85.639,12.75,"Po16",2016,2016-09-15
"BRT 103-182","INTA Matagalpa","INTA Sequia","C","A","Worse","Better","Better",-85.639,12.75,"Po16",2016,2016-09-08
"PM2 Don Rey","INTA Sequia","INTA Matagalpa","A","C","Better","Worse","Better",-85.576,12.745,"Po16",2016,2016-09-20
"BRT 103-182","INTA Matagalpa","PM2 Don Rey","A","C","Better","Worse","Better",-85.607,12.735,"Po16",2016,2016-09-20
"ALS 0532-6","SJC 730-79","INTA Ferroso","B","A","Worse","Better","Better",-85.57,12.739,"Po16",2016,2016-09-20
"INTA Precoz","PM2 Don Rey","INTA Sequia","A","B","Better","Worse","Worse",-85.604,12.727,"Po16",2016,2016-09-20
"INTA Ferroso","PM2 Don Rey","INTA Centro Sur","C","A","Worse","Worse","Better",-85.578,12.725,"Po16",2016,2016-09-20
"INTA Matagalpa","INTA Centro Sur","INTA Precoz","B","A","Worse","Better","Worse",-85.639,12.75,"Po16",2016,2016-09-10
"ALS 0532-6","INTA Sequia","BRT 103-182","C","B","Better","Better","Better",-85.749,12.911,"Pr15",2016,2016-06-16
"INTA Centro Sur","INTA Precoz","INTA Rojo","A","B","Better","Better","Better",-85.749,12.911,"Pr15",2016,2016-06-16
"INTA Rojo","INTA Ferroso","INTA Matagalpa","C","B","Better","Better","Better",-85.948,13.013,"Pr15",2016,2016-06-21
"INTA Centro Sur","INTA Rojo","ALS 0532-6","A","C","Worse","Worse","Worse",-85.769,12.923,"Pr15",2016,2016-06-22
"BRT 103-182","INTA Centro Sur","SJC 730-79","B","C","Worse","Better","Worse",-85.882,12.687,"Pr15",2016,2016-06-16
"SJC 730-79","INTA Ferroso","INTA Sequia","A","C","Worse","Worse","Worse",-85.778,12.84,"Pr15",2016,2016-06-23
"INTA Matagalpa","INTA Precoz","ALS 0532-6","B","C","Worse","Better","Worse",-85.749,12.911,"Pr15",2016,2016-06-15
"INTA Rojo","INTA Matagalpa","PM2 Don Rey","A","C","Better","Worse","Worse",-85.712,12.947,"Pr15",2016,2016-06-26
"INTA Sequia","SJC 730-79","INTA Ferroso","A","C","Better","Worse","Worse",-86.023,13.013,"Pr15",2016,2016-06-21
"INTA Rojo","PM2 Don Rey","BRT 103-182","A","C","Better","Worse","Worse",-85.749,12.911,"Pr15",2016,2016-06-23
"INTA Precoz","INTA Sequia","INTA Ferroso","A","C","Worse","Worse","Worse",-85.749,12.911,"Pr15",2016,2016-06-15
"PM2 Don Rey","INTA Rojo","ALS 0532-6","B","C","Worse","Worse","Worse",-86.068,13.013,"Pr15",2016,2016-06-20
"INTA Ferroso","INTA Rojo","SJC 730-79","B","C","Worse","Better","Worse",-85.778,12.84,"Pr15",2016,2016-06-23
"ALS 0532-6","INTA Precoz","BRT 103-182","A","C","Worse","Worse","Worse",-85.827,12.921,"Pr15",2016,2016-06-22
"INTA Sequia","SJC 730-79","INTA Matagalpa","A","C","Better","Worse","Worse",-85.749,12.911,"Pr15",2016,2016-06-21
"ALS 0532-6","BRT 103-182","PM2 Don Rey","B","A","Worse","Better","Worse",-85.712,12.947,"Pr15",2016,2016-06-22
"INTA Precoz","INTA Matagalpa","INTA Rojo","A","B","Better","Worse","Worse",-85.749,12.911,"Pr15",2016,2016-06-23
"INTA Centro Sur","PM2 Don Rey","INTA Ferroso","B","C","Worse","Better","Worse",-85.948,13.013,"Pr15",2016,2016-07-01
"SJC 730-79","INTA Sequia","BRT 103-182","B","C","Worse","Better","Worse",-85.749,12.911,"Pr15",2016,2016-06-23
"PM2 Don Rey","INTA Sequia","INTA Centro Sur","A","C","Worse","Worse","Worse",-85.882,12.687,"Pr15",2016,2016-06-18
"INTA Rojo","INTA Precoz","BRT 103-182","A","C","Better","Worse","Worse",-85.749,12.911,"Pr15",2016,2016-06-23
"INTA Matagalpa","INTA Ferroso","SJC 730-79","A","C","Better","Worse","Worse",-85.769,12.923,"Pr15",2016,2016-06-22
"INTA Centro Sur","PM2 Don Rey","ALS 0532-6","A","C","Better","Better","Better",-85.712,12.947,"Pr15",2016,2016-06-22
"ALS 0532-6","INTA Sequia","INTA Centro Sur","A","B","Worse","Worse","Worse",-85.838,12.923,"Pr15",2016,2016-06-22
"SJC 730-79","BRT 103-182","INTA Ferroso","A","C","Worse","Worse","Worse",-85.778,12.84,"Pr15",2016,2016-06-22
"INTA Centro Sur","INTA Precoz","PM2 Don Rey","A","C","Worse","Worse","Worse",-85.706,13.013,"Pr15",2016,2016-06-23
"INTA Matagalpa","INTA Ferroso","INTA Centro Sur","A","C","Worse","Worse","Worse",-85.995,13.013,"Pr15",2016,2016-06-23
"INTA Matagalpa","SJC 730-79","PM2 Don Rey","B","C","Worse","Worse","Worse",-85.778,12.84,"Pr15",2016,2016-06-22
"SJC 730-79","INTA Ferroso","INTA Precoz","C","A","Worse","Worse","Better",-85.712,12.947,"Pr15",2016,2016-06-22
"INTA Precoz","INTA Matagalpa","INTA Ferroso","A","C","Better","Worse","Worse",-85.948,13.013,"Pr15",2016,2016-06-21
"INTA Rojo","SJC 730-79","PM2 Don Rey","A","C","Better","Worse","Worse",-85.712,12.947,"Pr15",2016,2016-06-22
"ALS 0532-6","INTA Precoz","INTA Ferroso","A","C","Better","Worse","Worse",-85.882,12.687,"Pr15",2016,2016-06-16
"INTA Ferroso","ALS 0532-6","INTA Sequia","C","B","Better","Better","Better",-85.749,12.911,"Pr15",2016,2016-06-23
"INTA Precoz","INTA Ferroso","INTA Centro Sur","A","C","Worse","Worse","Worse",-85.712,12.947,"Pr15",2016,2016-06-25
"INTA Matagalpa","ALS 0532-6","INTA Rojo","C","A","Worse","Worse","Better",-85.712,12.947,"Pr15",2016,2016-06-26
"PM2 Don Rey","INTA Centro Sur","BRT 103-182","C","B","Worse","Worse","Better",-85.749,12.911,"Pr15",2016,2016-06-23
"INTA Centro Sur","SJC 730-79","INTA Precoz","A","C","Better","Worse","Worse",-85.749,12.911,"Pr15",2016,2016-06-23
"INTA Sequia","SJC 730-79","INTA Precoz","A","B","Better","Worse","Worse",-85.728,12.978,"Pr15",2016,2016-06-22
"INTA Ferroso","INTA Matagalpa","BRT 103-182","C","A","Worse","Worse","Better",-85.749,12.911,"Pr15",2016,2016-06-23
"ALS 0532-6","INTA Rojo","INTA Precoz","A","C","Worse","Worse","Worse",-85.712,12.947,"Pr15",2016,2016-06-25
"INTA Centro Sur","PM2 Don Rey","SJC 730-79","A","C","Better","Worse","Worse",-85.712,12.947,"Pr15",2016,2016-06-23
"ALS 0532-6","INTA Precoz","INTA Centro Sur","B","A","Worse","Better","Worse",-85.712,12.947,"Pr15",2016,2016-06-26
"INTA Precoz","SJC 730-79","INTA Rojo","A","B","Worse","Worse","Better",-85.778,12.84,"Pr15",2016,2016-06-22
"SJC 730-79","INTA Rojo","BRT 103-182","C","A","Better","Better","Better",-85.778,12.84,"Pr15",2016,2016-06-23
"SJC 730-79","ALS 0532-6","INTA Centro Sur","B","C","Worse","Better","Worse",-85.948,13.013,"Pr15",2016,2016-06-22
"PM2 Don Rey","INTA Rojo","INTA Precoz","C","A","Worse","Worse","Better",-85.712,12.947,"Pr15",2016,2016-06-22
"INTA Ferroso","PM2 Don Rey","INTA Sequia","C","A","Worse","Worse","Better",-85.769,12.923,"Pr15",2016,2016-06-23
"INTA Matagalpa","SJC 730-79","INTA Precoz","A","B","Better","Worse","Worse",-85.882,12.687,"Pr15",2016,2016-06-16
"INTA Centro Sur","INTA Sequia","SJC 730-79","C","B","Worse","Worse","Better",-85.882,12.687,"Pr15",2016,2016-06-16
"BRT 103-182","INTA Centro Sur","ALS 0532-6","C","A","Worse","Worse","Better",-85.749,12.911,"Pr15",2016,2016-06-15
"BRT 103-182","ALS 0532-6","INTA Ferroso","B","A","Worse","Better","Better",-85.882,12.687,"Pr15",2016,2016-06-27
"BRT 103-182","INTA Ferroso","INTA Sequia","B","A","Worse","Better","Better",-85.882,12.687,"Pr15",2016,2016-06-20
"SJC 730-79","INTA Rojo","INTA Matagalpa","A","B","Better","Worse","Worse",-85.948,13.013,"Pr15",2016,2016-06-21
"ALS 0532-6","INTA Sequia","BRT 103-182","C","A","Better","Better","Better",-85.769,12.923,"Pr15",2016,2016-06-24
